Id,Character,MeanLong,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
31745,亜,Một dạng của chữ á [亞],N1,Á,7,1509,ア | つ.ぐ
31746,以,"Lấy.##Làm. Như thị kỳ sở dĩ [視其所以] coi thửa sự làm.##Dùng. Như dĩ tiểu dịch đại [以小易大] dùng nhỏ đổi nhớn.##Nhân. Như hà kỳ cửu dã tất hữu dĩ dã [何其久也必有以也] sao thửa lâu vậy, ắt có nhân gì vậy.##Cùng nghĩa với chữ dĩ [已]",N4,DĨ,5,126,イ | もっ.て
31747,伊,"Kia, ấy. Như y nhân [伊人] người kia.##Họ Y. Như Y Doãn [伊尹]",N1,Y,6,703,イ | かれ
31748,位,"Ngôi, cái chỗ ngồi của mình được ở gọi là vị. Như địa vị [地位], tước vị [爵位], v.v.##Vị, nhời tôn kính người. Như chư vị [諸位] mọi ngài, các vị [各位] các ngài, v.v",N3,VỊ,7,276,イ | くらい ぐらい
31749,依,"Nương. Như y khốc [依靠] nương nhờ. Nguyễn Du [阮攸] : Đông tây nam bắc vô sở y [東西南北無所依] (Phản Chiêu hồn [反招魂]) Đông tây nam bắc không chốn nương tựa.##Y theo, cứ chiếu cung cách người ta đã định mà làm ra thuận gọi là y.##Y nhiên, vẫn cứ như cũ.##Một âm là ỷ. Như phủ ỷ [斧依] một cái đồ như cái bình phong trên thêu chữ như lưỡi búa để cho oai",N2,"Y, Ỷ",8,906,イ エ | よ.る
31750,偉,"Lạ, lớn. Như tú vĩ [秀偉] tuấn tú lạ, vĩ dị [偉異] lớn lao lạ, v.v. đều là dùng để hình dung sự vật gì quí báu, hiếm có, và hình vóc cao lớn khác thường cả. Người nào có công to nghiệp lớn đều gọi là vĩ nhân [偉人]",N3,VĨ,12,1639,イ | えら.い
31751,医,Giản thể của chữ [醫],N4,Y,7,437,イ | い.する い.やす くすし
31752,井,"Giếng, đào sâu lấy mạch nước dùng gọi là tỉnh.##Ngày xưa đào giếng giữa phố cho hàng phố cùng dùng, nên gọi phố là thị tỉnh [市井]. Đào giếng ở giữa làng để cả làng cùng dùng gọi là hương tỉnh [鄉井].##Ngày xưa chia ruộng làm chín khu, tám nhà làm tám khu, còn một khu giữa của vua gọi là tỉnh điền [井田].##Rành mạch. Như trật tự tỉnh nhiên [秩序井然] thứ tự rành mạch có điều lý.##Sao Tỉnh, một ngôi sao trong Nhị thập bát tú",N1,TỈNH,4,339,ショウ セイ | い
31753,亥,"Chi Hợi, một chi cuối cùng trong mười hai chi. Từ chín giờ đến mười một đêm gọi là giờ Hợi",N1,HỢI,6,0,カイ ガイ | い
31754,一,"Một, là số đứng đầu các số đếm. Phàm vật gì chỉ có một đều gọi là Nhất cả.##Cùng. Như sách Trung Dung nói : Cập kì thành công nhất dã [及其成工一也] nên công cùng như nhau vậy.##Dùng về lời nói hoặc giả thế chăng. Như vạn nhất [萬一] muôn một, nhất đán [一旦] một mai, v.v.##Bao quát hết thẩy. Như nhất thiết [一切] hết thẩy, nhất khái [一概] một mực như thế cả, v.v.##Chuyên môn về một mặt. Như nhất vị [一味] một mặt, nhất ý [一意] một ý, v.v",N5,NHẤT,1,2,イチ イツ | ひと- ひと.つ
31755,允,Thành thực.##Đáng. Như bình duẫn [平允] xử đoán phải chăng,N1,"DUẪN, DOÃN",4,2358,イン | じょう まこと.に ゆるす
31756,印,"Cái ấn (con dấu). Phép nhà Thanh định, ấn của các quan thân vương trở lên gọi là bảo [寶], từ quận vương trở xuống gọi là ấn [印], của các quan nhỏ gọi là kiêm kí [鈐記], của các quan khâm sai gọi là quan phòng [關防], của người thường dùng gọi là đồ chương [圖章] hay là tư ấn [私印].##In. Khắc chữ in chữ gọi là ấn, cái đồ dùng in báo in sách gọi là ấn loát khí [印刷器].##Như in vào, cái gì còn có dấu dính vào vật khác đều gọi là ấn. Hai bên hợp ý cùng lòng gọi là tâm tâm tương ấn [心心相印], nhân cái nọ biết cái kia gọi là hỗ tương ấn chứng [互相印證]",N2,ẤN,6,682,イン | しる.す しるし -じるし
31757,卯,"Chi Mão. Chi thứ tư trong 12 chi. Từ năm giờ sáng đến bảy giờ sáng là giờ Mão.##Lệ các quan làm việc từ gìờ Mão, cho nên điểm tên gọi là điểm mão [點卯], xưng đến tên dạ lên gọi là ứng mão [應卯], sổ sách gọi là mão bạ [卯簿]. Lập ra kì hẹn để thu tiền lương và so sánh nhiều ít gọi là tỉ mão [比卯]",N1,"MÃO, MẸO",5,2400,ボウ モウ | う
31758,丑,Một chi trong 12 chi. Từ 1 giờ đêm đến 3 giờ sáng là giờ Sửu [丑].##Vai hề trong tuồng Tàu cũng xưng là sửu.##Giản thể của chữ [醜],N1,"SỬU, XÚ",4,2305,チュウ | うし
31759,云,"Rằng. Như ngữ vân [語云] nhời quê nói rằng.##Vân vân v.v. nhời kể các sự còn dài, chỉ kể một hai cái làm mẫu. Như làng tôi có dệt vải, vóc, nhiễu",v.v.##Nhung nhúc. Như vạn vật vân vân [萬物云云] muôn vật nhung nhúc.##Giản thể của chữ [雲].,VÂN,4,0,ウン | い.う ここに
31760,円,Viên mãn,##Tiền yên NhậtN5,VIÊN,4,69,エン | まど まど.か まる まる.い まろ.やか
31761,凹,Lõm. Nguyễn Du [阮攸] : Ngạch đột diện ao [額凸面凹] (Long Thành cầm giả ca [龍城琴者歌]) Trán dô mặt gẫy,N1,AO,5,2206,オウ | くぼ.む へこ.む ぼこ
31762,億,"Ức. Mười vạn [萬] là một ức [億].##Liệu lường. Như ức tắc lũ trúng [億則屢中] lường thì thường trúng.##Yên. Như cung ức [供億] cung cấp cho đủ dùng, cho được yên ổn",N2,ỨC,15,716,オク
31763,乙,"Can Ất, can thứ hai trong mười can.##Xem sách đến lúc thôi đánh dấu lại cũng gọi là ất [乙]. Viết có chỗ mất",ngoặc cái dấu [乙] để chữa cũng gọi là ất.##Ruột. Như Kinh Lễ nói ngư khử ất [魚去乙] cá bỏ ruộtN1,ẤT,1,1841,イツ オツ | おと- きのと
31765,下,"Dưới, đối lại với chữ thượng [上]. Phàm cái gì ở dưới đều gọi là hạ.##Bề dưới, nhời nói nhún mình với người trên. Như hạ tình [下情] tình kẻ dưới, hạ hoài [下懷] tấm lòng kẻ dưới.##Một âm là há. Xuống, từ trên xuống dưới. Như há sơn [下山] xuống núi, há lâu [下樓] xuống lầu.##Cuốn. Như há kì [下旗] cuốn cờ, há duy [下帷] cuốn màn, v.v",N5,"HẠ, HÁ",3,97,カ ゲ | お.りる お.ろす くだ.さる くだ.す -くだ.す くだ.り くだ.る さ.がる さ.げる した しも もと
31766,化,"Biến hóa. Biến đổi vô hình. Như hóa thân [化身], hóa trang [化粧] nghĩa là biến đổi hình tướng không cho ai biết. Phật vì muốn cứu chúng sinh, phải hóa xuống làm thân người gọi là hóa thân.##Phàm vật này mất mà vật kia sinh ra gọi là hóa. Như hủ thảo hóa vi huỳnh [腐草化為螢] cỏ thối hóa làm đom đóm.##Thoát xác bay lên tiên gọi là vũ hóa [羽化].##Dần dần ít đi, có rồi lại không cũng gọi là hóa. Như tiêu hóa [消化] tiêu tan vật chất hóa ra chất khác, phần hóa [焚化] lấy lửa đốt cho tan mất, dung hóa [溶化] cho vào nước cho tan ra.##Khoa học về vật chất chia ghẽ các vật ra từng chất, hay pha lẫn mấy chất làm thành một chất gọi là hóa học [化學].##Hóa sinh. Như ta gọi trời đất là tạo hóa [造化], là hóa công [化工] nghĩa là sinh diệt được muôn vật.##Cảm hóa. Chuyển di tính chất, cải lương dân tục gọi là hóa. Như giáo hóa [教化] nghĩa là dẫn bảo chúng, cấm ngăn chúng, khiến cho chúng thuận tòng vậy. Lấy ân nghĩa mà cảm gọi là đức hóa [德化], lấy chánh trị mà cảm gọi là phong hóa [風化], lấy lễ giáo mà cảm gọi là văn hóa [文化]. Cho nên kẻ ở cõi ngoài, không theo sự giáo hóa của mình gọi là hóa ngoại [化外], bị mình cảm hóa cũng như theo mình gọi là đồng hóa [同化].##Cầu xin. Như hóa mộ [化募], hóa duyên [化緣] nghĩa là lấy nhời đạo nghĩa mà cảm hóa, khiến cho người sinh lòng từ thiện mà cho mà giúp",N3,HÓA,4,89,カ ケ | け.する ば.かす ば.ける ふ.ける
31767,仮,"Giả thuyết, giả trang",##Giả dốiN1,GIẢ,6,1039,カ ケ | かり かり-
31768,何,"Sao, gì",lời nói vặn lại. Như hà cố [何故] cớ gì ? hà dã [何也] sao vậy ?N5,HÀ,7,340,カ | なに なに- なん なん-
31769,伽,"Dịch âm tiếng Phạm. Như già đà [伽陀] lối văn tán tụng, tức là bài kệ.##Tên cây. Như cây già nam [伽楠]",N1,GIÀ,7,2323,カ ガ キャ ギャ | とぎ
31770,価,"Giá cả,  giá trị.##Vô giá",N1,GIÁ,8,250,カ ケ | あたい
31771,佳,"Tốt, quý. Nguyễn Trãi [阮薦] : Giai khách tương phùng nhật bão cầm [佳客相逢日抱琴] (Đề Trình xử sĩ Vân oa đồ [題程處士雲窩圖]) Khách quý gặp nhau, ngày ngày ôm đàn gảy.##Đẹp. Như giai nhân [佳人] con gái đẹp, người đẹp",N1,GIAI,8,1643,カ
31772,加,Thêm.##Chất thêm. Như vũ tuyết giao gia [雨雪交加] mưa tuyết cùng chất thêm lên.##Hơn. Như gia nhân nhất đẳng [加人一等] hơn người một bực,N3,GIA,5,130,カ | くわ.える くわ.わる
31773,俄,Chốc lát. Như nga khoảnh [俄頃] thoảng tí.##Tên nước Nga,gọi đủ là Nga-la-tư [俄羅斯] (Russian).,NGA,9,0,ガ | にわか
31774,介,"Cõi, ở vào khoảng giữa hai cái gọi là giới. Ngày xưa giao tiếp với nhau, chủ có người thấn mà khách có người giới [介] để giúp lễ và đem nhời người bên này nói với người bên kia biết. Như một người ở giữa nói cho người thứ nhất và người thứ ba biết nhau mà làm quen nhau gọi là giới thiệu [介紹] hay môi giới [媒介] v.v.##Giúp. Như dĩ giới my thọ [以介眉壽] lấy giúp vui tiệc thọ.##Áo. Như giới trụ [介冑] áo dày mũ trụ.##Có nghĩa là vảy. Như giới thuộc [介屬] loài ở nước có vảy.##Lời tôn quý. Như nói em người ta thì tôn là quý giới đệ [貴介第] em tôn quý của ngài.##Ven bờ. Như giang giới [江介] ven sông.##Một người. Như nhất giới chi sĩ [一介之士] một kẻ học trò.##Nhỏ, cùng nghĩa như chữ giới [芥] (hạt cải) như tiêm giới [纎介] nhỏ nhặt, gìới ý [介意] hơi để ý.##Bậm bực. Như giới giới [介介] lòng bậm bực",N2,GIỚI,4,617,カイ
31775,会,Giản thể của chữ [會],N4,"HỘI, CỐI",6,4,エ カイ | あ.う あ.わせる あつ.まる
31776,凱,"Vui hòa. Như khải phong [凱風] gió nam, khải toàn [凱旋] đánh được trận về.##Người thiện, người giỏi",N1,KHẢI,12,2293,カイ ガイ | かちどき やわらぐ
31777,劾,Hặc. Như sam hặc [参劾] bàn hặc (dự vào việc hặc tội người khác). Làm quan có lỗi tự thú tội mình gọi là tự hặc [自劾],N1,HẶC,8,2085,ガイ
31778,劃,Rạch,lấy dao rạch ra.##Vạch rõ. Như hoạch nhất bất nhị [劃一不二] định giá nhất định.,HOẠCH,14,0,カク | かぎ.る わ.かつ
31779,割,Cắt đứt. Như tâm như đao cát [心如刀割] lòng như dao cắt.##Chia. Như âm dương cát hôn hiểu [陰陽割昏曉] âm dương chia sớm tối.##Tổn hại. Như thang thang hồng thủy phương cát [湯湯洪水方割] mông mênh nước lụt đang làm hại,N3,CÁT,12,318,カツ | さ.く わ.り わ.る わ.れる わり
31780,且,"Vả, nhời nói giáo đầu. Như thả phù [且夫] vả chưng.##Nhời nói chuyển sang câu khác. Như huống thả [況且] phương chi lại.##Hãy thế. Như tạm thả [暫且] hãy tạm thế. Làm việc gì luộm thuộm, chỉ cầu cho tắc trách gọi là cẩu thả [苟且].##Sắp. Như thả tận [且盡] sắp hết.##Lại. Như Thi Kinh nói : quân tử hữu tửu đa thả chỉ [君子有酒多且旨] quân tử có rượu nhiều lại ngon.##Vừa, lời nói lúc vội vàng. Như thả chiến thả tẩu [且戰且走] vừa đánh vừa chạy.##Một âm là thư. Lời nói lòng",tiếng nói còn rớt giọng ra. Như Thi Kinh nói kì lạc chỉ thư [其樂只且] thửa vui vui lắm thay !N1,"THẢ, THƯ",5,0,ショ ショウ ソ | か.つ
31781,兜,Đâu mâu [兜鍪] cái mũ trụ. Cái mũ lúc ra đánh trận thì đội.##Đứng đằng sau ôm lại gọi là đâu. Như đâu nã [兜拿] ôm bắt,như ta nói khóa cánh.,ĐÂU,11,2034,ト トウ | かぶと
31782,刈,Cắt cỏ,N1,NGẢI,4,1738,カイ ガイ | か.る
31783,乾,"Một quẻ đầu tám quẻ (quẻ Kiền) là cái tượng lớn nhất như trời. Như vua, nên gọi tượng trời là kiền tượng [乾象], quyền vua là kiền cương [乾綱].##Quẻ Kiền ba hào dương cả, cho nên về bên nam ví như quẻ Kiền. Như nói ngày tháng sinh con trai thì gọi kiền tạo [乾造], nhà con trai ở thì gọi là kiền trạch [乾宅], v.v.##Một âm là can. Khô. Như can sài [乾柴] củi khô.##Khô kiệt. Như ngoại cường trung can [外疆中乾] ngoài có thừa mà trong thiếu.##Tiếng hão (hờ); không có sự thực mà được tiếng hão gọi là can. Như can gia [乾爺] cha hờ, can nương [乾娘] mẹ hờ.##Dị dạng của chữ [干]",N2,"KIỀN, CAN, CÀN",11,1453,カン ケン | いぬい かわ.かす かわ.く ひ.る ほ.す
31784,侃,Cứng thẳng. Như khản khản nhi đàm [侃侃而談] cứng cỏi mà nói,N1,KHẢN,8,0,カン | つよ.い
31785,冠,"Cái mũ.##Một âm là quán. Lễ đội mũ. Ngày xưa, con trai hai mươi tuổi thì làm lễ đội mũ, cho nên con trai mới hai mươi tuổi gọi là nhược quán [弱冠], chưa đến hai mươi tuổi gọi là vị quán [未冠].##Đầu sổ, cầm đầu cho tất cả mọi người gọi là quán, như quán quân [冠軍] đỗ đầu sổ. Bất cứ thi về khoa học gì, người đỗ đầu đều gọi là quán quân",N1,"QUAN, QUÁN",9,1503,カン | かんむり
